model_name,article_id,category,ner_score,nli_score,summary_score,translation_score,overall_score
qwen3.5-397b-a17b,FINANCE_035,finance,10.0,10.0,10.0,10.0,10.0
qwen3.5-397b-a17b,FINANCE_036,finance,9.25,10.0,9.0,10.0,9.53
qwen3.5-397b-a17b,FINANCE_037,finance,9.74,10.0,7.83,10.0,9.38
qwen3.5-397b-a17b,FINANCE_038,finance,9.56,10.0,9.0,10.0,9.62
qwen3.5-397b-a17b,FINANCE_045,finance,9.59,10.0,10.0,9.0,9.63
qwen3.5-397b-a17b,FINANCE_046,finance,6.25,10.0,10.0,10.0,8.88
qwen3.5-397b-a17b,FINANCE_047,finance,9.69,10.0,9.0,6.83,8.86
qwen3.5-397b-a17b,FINANCE_048,finance,9.83,7.87,9.0,10.0,9.27
qwen3.5-397b-a17b,FINANCE_049,finance,7.5,10.0,9.0,8.0,8.5
qwen3.5-397b-a17b,FINANCE_055,finance,10.0,10.0,10.0,6.83,9.21
qwen3.5-397b-a17b,FINANCE_058,finance,7.5,7.87,9.0,9.0,8.32
qwen3.5-397b-a17b,FINANCE_059,finance,10.0,10.0,10.0,10.0,10.0
qwen3.5-397b-a17b,FINANCE_063,finance,9.87,10.0,6.83,10.0,9.17
qwen3.5-397b-a17b,FINANCE_065,finance,8.38,10.0,7.83,6.83,8.18
qwen3.5-397b-a17b,FINANCE_067,finance,9.49,10.0,6.83,10.0,9.05
qwen3.5-397b-a17b,FINANCE_075,finance,9.05,7.87,7.83,10.0,8.75
qwen3.5-397b-a17b,FINANCE_076,finance,10.0,7.87,9.0,10.0,9.32
qwen3.5-397b-a17b,FINANCE_082,finance,7.05,10.0,10.0,10.0,9.12
qwen3.5-397b-a17b,FINANCE_084,finance,10.0,7.87,9.0,10.0,9.32
qwen3.5-397b-a17b,FINANCE_085,finance,8.6,10.0,10.0,5.67,8.5
qwen3.5-397b-a17b,FINANCE_086,finance,5.77,10.0,9.0,10.0,8.48
qwen3.5-397b-a17b,FINANCE_090,finance,7.6,10.0,7.83,10.0,8.74
qwen3.5-397b-a17b,FINANCE_092,finance,9.17,10.0,10.0,10.0,9.75
qwen3.5-397b-a17b,FINANCE_095,finance,9.26,10.0,9.0,10.0,8.11
qwen3.5-397b-a17b,FINANCE_097,finance,9.22,7.87,9.0,10.0,9.09
qwen3.5-397b-a17b,FINANCE_099,finance,7.98,7.87,8.0,6.83,7.68
qwen3.5-397b-a17b,POLITICS_001,politics,3.08,10.0,10.0,10.0,7.92
qwen3.5-397b-a17b,POLITICS_003,politics,2.89,10.0,10.0,7.83,7.32
qwen3.5-397b-a17b,POLITICS_004,politics,8.83,10.0,9.0,10.0,8.01
qwen3.5-397b-a17b,POLITICS_006,politics,7.48,10.0,10.0,7.83,8.7
qwen3.5-397b-a17b,POLITICS_008,politics,7.33,10.0,10.0,10.0,9.2
qwen3.5-397b-a17b,POLITICS_012,politics,7.42,10.0,9.0,9.0,8.73
qwen3.5-397b-a17b,POLITICS_013,politics,8.32,6.81,7.83,10.0,8.32
qwen3.5-397b-a17b,POLITICS_014,politics,9.64,10.0,10.0,9.0,9.64
qwen3.5-397b-a17b,POLITICS_015,politics,9.64,7.45,9.0,8.83,7.47
qwen3.5-397b-a17b,POLITICS_018,politics,5.77,10.0,9.0,10.0,8.48
qwen3.5-397b-a17b,POLITICS_020,politics,8.81,10.0,10.0,10.0,9.64
qwen3.5-397b-a17b,POLITICS_021,politics,7.31,10.0,10.0,9.0,8.94
qwen3.5-397b-a17b,POLITICS_022,politics,7.54,6.81,10.0,10.0,8.62
qwen3.5-397b-a17b,POLITICS_026,politics,9.3,10.0,7.83,10.0,9.25
qwen3.5-397b-a17b,POLITICS_027,politics,5.2,10.0,10.0,10.0,8.56
qwen3.5-397b-a17b,POLITICS_028,politics,8.87,10.0,9.0,10.0,9.41
qwen3.5-397b-a17b,POLITICS_029,politics,8.75,10.0,6.83,9.0,8.58
qwen3.5-397b-a17b,POLITICS_031,politics,6.27,10.0,10.0,10.0,8.88
qwen3.5-397b-a17b,POLITICS_034,politics,9.3,10.0,10.0,10.0,9.79
qwen3.5-397b-a17b,POLITICS_036,politics,3.27,10.0,6.83,10.0,7.19
qwen3.5-397b-a17b,POLITICS_037,politics,2.59,10.0,6.83,9.0,6.73
qwen3.5-397b-a17b,POLITICS_040,politics,5.12,10.0,10.0,6.83,7.74
qwen3.5-397b-a17b,POLITICS_044,politics,3.14,10.0,10.0,10.0,7.94
qwen3.5-397b-a17b,POLITICS_049,politics,8.22,10.0,10.0,10.0,9.47
qwen3.5-397b-a17b,POLITICS_054,politics,8.71,10.0,10.0,10.0,9.61
qwen3.5-397b-a17b,POLITICS_055,politics,7.86,10.0,7.83,10.0,8.82
qwen3.5-397b-a17b,POLITICS_058,politics,8.5,10.0,10.0,10.0,9.55
qwen3.5-397b-a17b,POLITICS_060,politics,9.0,10.0,10.0,10.0,9.7
qwen3.5-397b-a17b,POLITICS_070,politics,7.01,6.81,10.0,10.0,8.46
qwen3.5-397b-a17b,POLITICS_072,politics,7.01,10.0,9.0,6.83,8.06
qwen3.5-397b-a17b,POLITICS_075,politics,8.73,10.0,10.0,10.0,9.62
qwen3.5-397b-a17b,POLITICS_076,politics,4.43,10.0,10.0,9.0,8.08
qwen3.5-397b-a17b,POLITICS_081,politics,8.08,10.0,10.0,10.0,9.42
qwen3.5-397b-a17b,POLITICS_083,politics,7.5,10.0,9.0,10.0,9.0
qwen3.5-397b-a17b,POLITICS_084,politics,4.5,10.0,7.83,10.0,7.81
qwen3.5-397b-a17b,POLITICS_085,politics,3.26,10.0,10.0,10.0,7.98
qwen3.5-397b-a17b,POLITICS_086,politics,6.81,10.0,10.0,10.0,9.04
qwen3.5-397b-a17b,POLITICS_090,politics,4.22,10.0,10.0,6.83,7.47
qwen3.5-397b-a17b,POLITICS_092,politics,6.57,10.0,7.83,9.0,8.18
qwen3.5-397b-a17b,POLITICS_095,politics,7.14,10.0,10.0,10.0,7.79
qwen3.5-397b-a17b,POLITICS_097,politics,9.5,10.0,10.0,8.83,9.56
qwen3.5-397b-a17b,POLITICS_098,politics,6.42,10.0,6.83,9.0,7.88
qwen3.5-397b-a17b,POLITICS_099,politics,8.49,10.0,10.0,10.0,9.55
qwen3.5-397b-a17b,SPORTS_001,sports,6.75,10.0,7.83,10.0,8.48
qwen3.5-397b-a17b,SPORTS_009,sports,6.17,10.0,9.0,10.0,8.6
qwen3.5-397b-a17b,SPORTS_010,sports,9.87,10.0,10.0,10.0,9.96
qwen3.5-397b-a17b,SPORTS_013,sports,7.97,10.0,10.0,10.0,9.39
qwen3.5-397b-a17b,SPORTS_014,sports,9.64,10.0,10.0,10.0,9.89
qwen3.5-397b-a17b,SPORTS_020,sports,10.0,10.0,9.0,7.83,9.21
qwen3.5-397b-a17b,SPORTS_021,sports,9.32,10.0,7.83,10.0,9.25
qwen3.5-397b-a17b,SPORTS_022,sports,10.0,10.0,10.0,10.0,10.0
qwen3.5-397b-a17b,SPORTS_023,sports,7.5,10.0,9.0,9.0,8.75
qwen3.5-397b-a17b,SPORTS_031,sports,8.39,10.0,10.0,9.0,9.27
qwen3.5-397b-a17b,SPORTS_032,sports,7.67,10.0,10.0,10.0,9.3
qwen3.5-397b-a17b,SPORTS_034,sports,5.57,10.0,7.83,10.0,8.13
qwen3.5-397b-a17b,SPORTS_036,sports,7.5,10.0,6.83,6.83,6.61
qwen3.5-397b-a17b,SPORTS_040,sports,8.39,6.81,10.0,10.0,8.88
qwen3.5-397b-a17b,SPORTS_043,sports,9.79,10.0,9.0,9.0,9.44
qwen3.5-397b-a17b,SPORTS_048,sports,9.51,10.0,6.83,10.0,9.06
qwen3.5-397b-a17b,SPORTS_049,sports,9.79,10.0,9.0,7.83,9.14
qwen3.5-397b-a17b,SPORTS_052,sports,9.52,10.0,8.0,10.0,9.36
qwen3.5-397b-a17b,SPORTS_058,sports,6.64,10.0,10.0,9.0,8.74
qwen3.5-397b-a17b,SPORTS_060,sports,4.07,10.0,8.0,10.0,7.72
qwen3.5-397b-a17b,SPORTS_062,sports,8.11,10.0,10.0,5.67,8.35
qwen3.5-397b-a17b,SPORTS_063,sports,8.54,10.0,8.83,6.83,8.48
qwen3.5-397b-a17b,SPORTS_064,sports,8.24,10.0,7.83,8.83,8.64
qwen3.5-397b-a17b,SPORTS_065,sports,6.11,7.87,10.0,10.0,8.41
qwen3.5-397b-a17b,SPORTS_067,sports,6.8,10.0,9.0,9.0,8.54
qwen3.5-397b-a17b,SPORTS_069,sports,7.34,10.0,6.83,10.0,8.41
qwen3.5-397b-a17b,SPORTS_078,sports,8.67,10.0,10.0,9.0,9.35
qwen3.5-397b-a17b,SPORTS_080,sports,2.33,10.0,9.0,7.83,6.91
qwen3.5-397b-a17b,SPORTS_081,sports,5.21,10.0,6.83,7.83,7.23
qwen3.5-397b-a17b,SPORTS_082,sports,5.61,10.0,10.0,7.83,8.14
qwen3.5-397b-a17b,SPORTS_083,sports,6.14,10.0,9.0,6.83,7.8
qwen3.5-397b-a17b,SPORTS_088,sports,5.17,10.0,10.0,8.0,8.05
qwen3.5-397b-a17b,SPORTS_094,sports,8.67,10.0,6.83,10.0,8.81
qwen3.5-397b-a17b,SPORTS_095,sports,5.95,10.0,7.83,10.0,7.05
qwen3.5-397b-a17b,TECH_004,tech,9.17,10.0,9.0,9.0,7.89
qwen3.5-397b-a17b,TECH_006,tech,10.0,10.0,10.0,6.83,9.21
qwen3.5-397b-a17b,TECH_009,tech,7.17,10.0,6.83,7.83,7.82
qwen3.5-397b-a17b,TECH_011,tech,3.5,10.0,9.0,6.83,7.01
qwen3.5-397b-a17b,TECH_013,tech,7.25,10.0,9.0,10.0,8.93
qwen3.5-397b-a17b,TECH_016,tech,4.17,10.0,6.83,10.0,7.46
qwen3.5-397b-a17b,TECH_017,tech,8.0,10.0,9.0,8.0,8.65
qwen3.5-397b-a17b,TECH_020,tech,10.0,10.0,10.0,10.0,10.0
qwen3.5-397b-a17b,TECH_021,tech,10.0,10.0,9.0,9.0,9.5
qwen3.5-397b-a17b,TECH_023,tech,5.23,10.0,10.0,10.0,8.57
qwen3.5-397b-a17b,TECH_024,tech,7.25,10.0,9.0,10.0,8.93
qwen3.5-397b-a17b,TECH_025,tech,8.61,10.0,10.0,9.0,9.33
qwen3.5-397b-a17b,TECH_026,tech,6.33,10.0,9.0,10.0,8.65
qwen3.5-397b-a17b,TECH_028,tech,8.03,10.0,10.0,10.0,9.41
qwen3.5-397b-a17b,TECH_032,tech,6.83,10.0,9.0,10.0,8.8
qwen3.5-397b-a17b,TECH_034,tech,8.63,10.0,6.83,10.0,8.8
qwen3.5-397b-a17b,TECH_036,tech,7.17,10.0,10.0,10.0,7.79
qwen3.5-397b-a17b,TECH_038,tech,8.59,10.0,6.83,10.0,8.78
qwen3.5-397b-a17b,TECH_043,tech,8.53,10.0,6.83,10.0,8.77
qwen3.5-397b-a17b,TECH_045,tech,7.18,10.0,10.0,9.0,8.9
qwen3.5-397b-a17b,TECH_046,tech,4.17,10.0,9.0,10.0,8.0
qwen3.5-397b-a17b,TECH_047,tech,6.5,10.0,10.0,6.83,8.16
qwen3.5-397b-a17b,TECH_048,tech,6.13,10.0,10.0,6.83,8.05
qwen3.5-397b-a17b,TECH_049,tech,5.87,10.0,7.83,10.0,8.22
qwen3.5-397b-a17b,TECH_057,tech,6.75,10.0,10.0,10.0,9.03
qwen3.5-397b-a17b,TECH_059,tech,6.2,10.0,9.0,9.0,8.36
qwen3.5-397b-a17b,TECH_065,tech,6.08,10.0,9.0,10.0,8.57
qwen3.5-397b-a17b,TECH_069,tech,5.67,10.0,8.0,10.0,8.2
qwen3.5-397b-a17b,TECH_070,tech,8.5,10.0,10.0,9.0,9.3
qwen3.5-397b-a17b,TECH_071,tech,9.3,10.0,10.0,10.0,9.79
qwen3.5-397b-a17b,TECH_074,tech,6.0,10.0,10.0,9.0,8.55
qwen3.5-397b-a17b,TECH_076,tech,8.07,10.0,10.0,10.0,9.42
qwen3.5-397b-a17b,TECH_078,tech,6.5,10.0,10.0,9.0,8.7
qwen3.5-397b-a17b,TECH_080,tech,9.5,10.0,7.83,10.0,9.31
qwen3.5-397b-a17b,TECH_081,tech,7.25,10.0,7.83,10.0,8.63
qwen3.5-397b-a17b,TECH_086,tech,6.6,10.0,10.0,8.0,8.48
qwen3.5-397b-a17b,TECH_088,tech,7.5,10.0,10.0,10.0,9.25
qwen3.5-397b-a17b,TECH_091,tech,5.61,10.0,10.0,10.0,8.68
qwen3.5-397b-a17b,TECH_092,tech,8.39,10.0,9.0,10.0,9.27
qwen3.5-397b-a17b,TECH_093,tech,8.0,10.0,10.0,10.0,9.4
qwen3.5-397b-a17b,TECH_094,tech,6.83,10.0,9.0,10.0,8.8
qwen3.5-397b-a17b,TECH_100,tech,10.0,10.0,8.83,9.0,9.46
deepseek-chat,CULTURE_004,culture,5.67,10.0,8.0,6.83,7.41
deepseek-chat,CULTURE_005,culture,6.25,10.0,9.0,10.0,8.62
deepseek-chat,CULTURE_012,culture,8.33,10.0,9.0,9.0,9.0
deepseek-chat,CULTURE_014,culture,5.17,10.0,7.83,9.0,7.76
deepseek-chat,CULTURE_015,culture,7.36,10.0,9.0,8.0,7.24
deepseek-chat,CULTURE_017,culture,7.9,10.0,9.0,6.83,8.33
deepseek-chat,CULTURE_018,culture,6.83,10.0,9.0,9.0,8.55
deepseek-chat,CULTURE_024,culture,10.0,10.0,10.0,10.0,10.0
deepseek-chat,CULTURE_028,culture,7.71,10.0,9.0,9.0,8.81
deepseek-chat,CULTURE_029,culture,8.08,10.0,8.0,10.0,8.92
deepseek-chat,CULTURE_030,culture,7.92,10.0,9.0,7.83,8.58
deepseek-chat,CULTURE_032,culture,7.87,10.0,9.0,10.0,9.11
deepseek-chat,CULTURE_033,culture,8.45,10.0,10.0,10.0,9.54
deepseek-chat,CULTURE_036,culture,9.25,10.0,10.0,6.83,8.98
deepseek-chat,CULTURE_037,culture,3.17,10.0,8.0,6.83,6.66
deepseek-chat,CULTURE_039,culture,6.18,10.0,9.0,6.83,7.81
deepseek-chat,CULTURE_041,culture,9.25,10.0,9.0,10.0,9.53
deepseek-chat,CULTURE_043,culture,7.86,10.0,9.0,6.83,8.32
deepseek-chat,CULTURE_044,culture,5.04,10.0,9.0,9.0,8.01
deepseek-chat,CULTURE_055,culture,8.67,10.0,9.0,10.0,9.35
deepseek-chat,CULTURE_061,culture,8.5,10.0,10.0,9.0,9.3
deepseek-chat,CULTURE_062,culture,8.43,10.0,9.0,6.83,8.49
deepseek-chat,CULTURE_063,culture,9.17,10.0,10.0,10.0,9.75
deepseek-chat,CULTURE_064,culture,8.55,10.0,9.0,10.0,9.31
deepseek-chat,CULTURE_065,culture,1.42,10.0,9.0,10.0,7.18
deepseek-chat,CULTURE_067,culture,9.61,10.0,9.0,7.83,9.09
deepseek-chat,CULTURE_070,culture,5.59,6.81,9.0,9.0,7.54
deepseek-chat,CULTURE_072,culture,7.32,10.0,10.0,9.0,8.95
deepseek-chat,CULTURE_073,culture,6.62,10.0,9.0,7.83,8.19
deepseek-chat,CULTURE_076,culture,7.25,10.0,9.0,6.83,8.13
deepseek-chat,CULTURE_078,culture,7.08,10.0,9.0,9.0,8.62
deepseek-chat,CULTURE_080,culture,6.0,10.0,9.0,10.0,8.55
deepseek-chat,CULTURE_082,culture,4.11,10.0,7.83,10.0,6.59
deepseek-chat,CULTURE_085,culture,10.0,10.0,9.0,7.83,9.21
deepseek-chat,CULTURE_086,culture,8.0,10.0,9.0,7.83,8.61
deepseek-chat,CULTURE_087,culture,5.83,10.0,9.0,8.0,8.0
deepseek-chat,CULTURE_091,culture,8.5,10.0,9.0,10.0,9.3
deepseek-chat,CULTURE_095,culture,5.67,10.0,9.0,10.0,8.45
deepseek-chat,CULTURE_097,culture,9.25,10.0,9.0,6.83,8.73
deepseek-chat,CULTURE_098,culture,6.42,7.45,9.0,8.83,7.87
deepseek-chat,FINANCE_001,finance,5.27,10.0,3.67,7.83,6.46
deepseek-chat,FINANCE_006,finance,7.25,7.87,7.83,8.0,7.71
deepseek-chat,FINANCE_007,finance,9.64,10.0,9.0,9.0,9.39
deepseek-chat,FINANCE_009,finance,8.14,10.0,9.0,6.83,8.4
deepseek-chat,FINANCE_011,finance,8.08,10.0,9.0,9.0,8.92
deepseek-chat,FINANCE_013,finance,4.8,10.0,9.0,6.83,7.4
deepseek-chat,FINANCE_015,finance,5.5,10.0,8.0,10.0,8.15
deepseek-chat,FINANCE_016,finance,9.81,5.32,10.0,9.0,8.76
deepseek-chat,FINANCE_018,finance,6.17,10.0,9.0,10.0,8.6
deepseek-chat,FINANCE_021,finance,9.5,10.0,9.0,10.0,9.6
deepseek-chat,FINANCE_025,finance,9.14,10.0,9.0,10.0,9.49
deepseek-chat,FINANCE_027,finance,8.5,10.0,9.0,10.0,9.3
deepseek-chat,FINANCE_029,finance,5.29,10.0,9.0,9.0,8.09
deepseek-chat,FINANCE_030,finance,7.83,10.0,9.0,10.0,9.1
deepseek-chat,FINANCE_031,finance,7.0,10.0,9.0,9.0,8.6
deepseek-chat,FINANCE_035,finance,8.14,10.0,6.83,9.0,8.4
deepseek-chat,FINANCE_036,finance,9.15,10.0,6.83,5.83,7.91
deepseek-chat,FINANCE_037,finance,8.24,10.0,9.0,8.0,8.72
deepseek-chat,FINANCE_038,finance,5.79,10.0,6.83,8.0,7.44
deepseek-chat,FINANCE_045,finance,4.17,10.0,9.0,9.0,7.75
deepseek-chat,FINANCE_046,finance,10.0,10.0,9.0,10.0,9.75
deepseek-chat,FINANCE_047,finance,8.33,10.0,9.0,6.83,8.46
deepseek-chat,FINANCE_048,finance,9.5,10.0,9.0,10.0,9.6
deepseek-chat,FINANCE_049,finance,7.5,10.0,9.0,10.0,9.0
deepseek-chat,FINANCE_055,finance,8.5,10.0,9.0,7.83,8.76
deepseek-chat,FINANCE_058,finance,3.45,10.0,6.83,6.83,6.45
deepseek-chat,FINANCE_059,finance,8.5,10.0,10.0,9.0,9.3
deepseek-chat,FINANCE_063,finance,8.25,10.0,9.0,6.83,8.43
deepseek-chat,FINANCE_065,finance,3.5,10.0,9.0,7.83,7.26
deepseek-chat,FINANCE_067,finance,8.34,10.0,6.83,7.83,8.17
deepseek-chat,FINANCE_075,finance,8.27,10.0,9.0,9.0,8.98
deepseek-chat,FINANCE_076,finance,5.0,10.0,9.0,6.83,7.46
deepseek-chat,FINANCE_082,finance,2.5,10.0,6.83,6.83,6.16
deepseek-chat,FINANCE_084,finance,8.5,10.0,9.0,10.0,9.3
deepseek-chat,FINANCE_085,finance,7.87,10.0,10.0,5.67,8.28
deepseek-chat,FINANCE_086,finance,6.28,10.0,9.0,9.0,8.38
deepseek-chat,FINANCE_090,finance,7.17,10.0,3.5,10.0,7.53
deepseek-chat,FINANCE_092,finance,8.5,10.0,10.0,9.0,9.3
deepseek-chat,FINANCE_097,finance,8.41,10.0,9.0,5.67,8.19
deepseek-chat,FINANCE_099,finance,5.32,7.87,9.0,6.83,7.13
deepseek-chat,POLITICS_001,politics,7.38,10.0,9.0,9.0,8.71
deepseek-chat,POLITICS_003,politics,5.38,10.0,9.0,8.0,7.86
deepseek-chat,POLITICS_004,politics,10.0,10.0,9.0,9.0,8.1
deepseek-chat,POLITICS_006,politics,8.09,10.0,9.0,8.83,8.88
deepseek-chat,POLITICS_008,politics,8.27,10.0,9.0,10.0,9.23
deepseek-chat,POLITICS_012,politics,4.77,10.0,9.0,9.0,7.93
deepseek-chat,POLITICS_013,politics,8.81,10.0,9.0,6.67,8.56
deepseek-chat,POLITICS_014,politics,6.75,10.0,9.0,9.0,8.53
deepseek-chat,POLITICS_018,politics,6.05,10.0,8.0,6.83,7.52
deepseek-chat,POLITICS_020,politics,7.88,10.0,6.83,9.0,8.32
deepseek-chat,POLITICS_021,politics,6.92,10.0,9.0,8.0,8.33
deepseek-chat,POLITICS_022,politics,6.04,10.0,9.0,10.0,8.56
deepseek-chat,POLITICS_026,politics,9.89,10.0,9.0,10.0,9.72
deepseek-chat,POLITICS_027,politics,6.17,10.0,10.0,10.0,8.85
deepseek-chat,POLITICS_028,politics,8.42,10.0,9.0,10.0,9.28
deepseek-chat,POLITICS_029,politics,3.38,10.0,9.0,10.0,7.76
deepseek-chat,POLITICS_031,politics,6.75,10.0,9.0,10.0,8.78
deepseek-chat,POLITICS_034,politics,10.0,10.0,8.0,10.0,9.5
deepseek-chat,POLITICS_036,politics,7.33,10.0,9.0,9.0,8.7
deepseek-chat,POLITICS_037,politics,4.93,10.0,8.0,9.0,7.73
deepseek-chat,POLITICS_040,politics,5.8,10.0,9.0,9.0,8.24
deepseek-chat,POLITICS_044,politics,6.4,10.0,10.0,10.0,8.92
deepseek-chat,POLITICS_049,politics,9.72,10.0,9.0,9.0,9.42
deepseek-chat,POLITICS_054,politics,9.72,10.0,10.0,10.0,9.92
deepseek-chat,POLITICS_055,politics,7.47,10.0,7.83,9.0,8.45
deepseek-chat,POLITICS_058,politics,7.36,10.0,9.0,9.0,8.71
deepseek-chat,POLITICS_060,politics,10.0,10.0,8.0,10.0,9.5
deepseek-chat,POLITICS_070,politics,7.38,10.0,9.0,10.0,8.96
deepseek-chat,POLITICS_072,politics,4.38,10.0,9.0,8.83,7.77
deepseek-chat,POLITICS_075,politics,7.01,10.0,10.0,9.0,8.85
deepseek-chat,POLITICS_076,politics,4.33,10.0,9.0,10.0,8.05
deepseek-chat,POLITICS_081,politics,8.33,10.0,10.0,10.0,9.5
deepseek-chat,POLITICS_083,politics,5.48,10.0,9.0,10.0,8.39
deepseek-chat,POLITICS_084,politics,7.62,10.0,9.0,10.0,9.04
deepseek-chat,POLITICS_085,politics,6.55,10.0,9.0,9.0,8.46
deepseek-chat,POLITICS_086,politics,3.54,10.0,10.0,6.83,7.27
deepseek-chat,POLITICS_090,politics,8.75,10.0,10.0,10.0,9.62
deepseek-chat,POLITICS_092,politics,7.17,7.45,9.0,9.0,8.14
deepseek-chat,POLITICS_095,politics,8.13,10.0,9.0,7.83,7.4
deepseek-chat,POLITICS_097,politics,8.75,10.0,9.0,8.83,9.08
deepseek-chat,POLITICS_098,politics,5.97,10.0,6.83,9.0,7.75
deepseek-chat,POLITICS_099,politics,7.5,10.0,10.0,10.0,9.25
deepseek-chat,SPORTS_001,sports,5.65,10.0,9.0,9.0,8.2
deepseek-chat,SPORTS_009,sports,4.86,10.0,8.0,10.0,7.96
deepseek-chat,SPORTS_010,sports,9.87,10.0,6.83,6.83,8.38
deepseek-chat,SPORTS_013,sports,8.43,10.0,9.0,6.83,8.49
deepseek-chat,SPORTS_014,sports,9.64,10.0,10.0,10.0,9.89
deepseek-chat,SPORTS_020,sports,7.5,10.0,9.0,6.83,8.21
